Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
beatmania featuring Dreams Come True (ver JA-A),beatmania featuring Dreams Come True,beatmaniafeaturingdreamscometrue,beatmania featuring dreams come true,1,1,main,main,beatmania featuring Dreams Come True,beatmania featuring Dreams Come True,SAME,0,,,
beatmania IIDX 2nd style (GC985 JAA),beatmania IIDX 2nd style,beatmania2dx2ndstyle,beatmania iidx 2nd style,1,1,main,main,beatmania IIDX 2nd style,beatmania IIDX 2nd style,SAME,0,,,
beatmania IIDX 3rd style (GC992 JAC),beatmania IIDX 3rd style,beatmania2dx3rdstyle,beatmania iidx 3rd style,1,1,main,main,beatmania IIDX 3rd style,beatmania IIDX 3rd style,SAME,0,,,
beatmania IIDX 4th style (GCA03 JAA),beatmania IIDX 4th style,beatmania2dx4thstyle,beatmania iidx 4th style,1,1,main,main,beatmania IIDX 4th style,beatmania IIDX 4th style,SAME,0,,,
beatmania IIDX 5th style (GCA17 JAA),beatmania IIDX 5th style,beatmania2dx5thstyle,beatmania iidx 5th style,1,1,main,main,beatmania IIDX 5th style,beatmania IIDX 5th style,SAME,0,,,
beatmania IIDX 6th style (GCB4U JAB),beatmania IIDX 6th style,beatmania2dx6thstyle,beatmania iidx 6th style,1,1,main,main,beatmania IIDX 6th style,beatmania IIDX 6th style,SAME,0,,,
beatmania IIDX 7th style (GCB44 JAB),beatmania IIDX 7th style,beatmania2dx7thstyle,beatmania iidx 7th style,1,1,main,main,beatmania IIDX 7th style,beatmania IIDX 7th style,SAME,0,,,
beatmania IIDX 8th style (GCC44 JAA),beatmania IIDX 8th style,beatmania2dx8thstyle,beatmania iidx 8th style,1,1,main,main,beatmania IIDX 8th style,beatmania IIDX 8th style,SAME,0,,,
beatmania IIDX Substream (983 JAA),beatmania IIDX Substream,beatmania2dxsubstream,beatmania iidx substream,1,1,main,main,beatmania IIDX Substream,beatmania IIDX Substream,SAME,0,,,
Beatmania III,Beatmania III,beatmania3,beatmania iii,0,0,,,,,SAME,0,,,
Beatmania III Append 6th Mix,Beatmania III Append 6th Mix,beatmania3append6thmix,beatmania iii append 6th mix,1,1,main,main,beatmania III: Append 6th Mix,beatmania III: Append 6th Mix,SAME,0,,,
Beatmania III Append 7th Mix,Beatmania III Append 7th Mix,beatmania3append7thmix,beatmania iii append 7th mix,1,1,main,main,beatmania III: Append 7th Mix,beatmania III: Append 7th Mix,SAME,0,,,
Beatmania III Append Core Remix,Beatmania III Append Core Remix,beatmania3appendcoreremix,beatmania iii append core remix,1,1,main,main,beatmania III: Append Core Remix,beatmania III: Append Core Remix,SAME,0,,,
Beatmania III The Final,Beatmania III The Final,beatmania3thefinal,beatmania iii the final,1,1,main,main,beatmania III: The Final,beatmania III: The Final,SAME,0,,,
beatmania THE FINAL (ver JA-A),beatmania THE FINAL,beatmaniathefinal,beatmania the final,1,1,main,main,beatmania: THE FINAL,beatmania: THE FINAL,SAME,0,,,
Beezer (version 9.0),Beezer,beezer,beezer,1,1,main,main,Beezer,Beezer,SAME,0,,,
"Bells &amp;amp;amp;amp; Whistles (World, version L)",Bells &amp;amp;amp;amp; Whistles,bellsampampampampwhistles,bells amp amp amp amp whistles,0,0,,,,,SAME,0,,,
Ben Bero Beh (Japan),Ben Bero Beh,benberobeh,ben bero beh,1,1,main,main,Ben Bero Beh,Ben Bero Beh,SAME,0,,,
Bermuda Triangle (World?),Bermuda Triangle,bermudatriangle,bermuda triangle,1,1,main,main,Bermuda Triangle,Bermuda Triangle,SAME,0,,,
Berzerk (revision RC31A),Berzerk,berzerk,berzerk,1,1,main,main,Berzerk,Berzerk,SAME,0,,,
Best Bout Boxing (ver 1.3),Best Bout Boxing,bestboutboxing,best bout boxing,1,1,main,main,Best Bout Boxing,Best Bout Boxing,SAME,0,,,
Best Of Best,Best Of Best,bestofbest,best of best,1,1,main,main,Best of Best,Best of Best,SAME,0,,,
"Bestri (Korea, set 1)",Bestri,bestri,bestri,1,1,main,main,Bestri,Bestri,SAME,0,,,
"Big Bang (9th Nov. 1993, set 1)",Big Bang,bigbang,big bang,0,0,,,,,SAME,0,,,
Big Buck Hunter - Shooter's Challenge (v1.60.01),Big Buck Hunter - Shooter's Challenge,bigbuckhuntershooterschallenge,big buck hunter shooter s challenge,1,1,main,main,Big Buck Hunter: Shooter's Challenge,Big Buck Hunter: Shooter's Challenge,SAME,0,,,
Big Buck Hunter (v1.00.14),Big Buck Hunter,bigbuckhunter,big buck hunter,1,1,main,main,Big Buck Hunter,Big Buck Hunter,SAME,0,,,
Big Buck Hunter Call of the Wild (v3.02.5),Big Buck Hunter Call of the Wild,bigbuckhuntercallofthewild,big buck hunter call of the wild,0,0,,,,,SAME,0,,,
Big Buck Hunter II - Sportsman's Paradise (v2.02.11),Big Buck Hunter II - Sportsman's Paradise,bigbuckhunter2sportsmansparadise,big buck hunter ii sportsman s paradise,1,1,main,main,Big Buck Hunter II: Sportsman's Paradise,Big Buck Hunter II: Sportsman's Paradise,SAME,0,,,
Big Bucks,Big Bucks,bigbucks,big bucks,0,0,,,,,SAME,0,,,
Big Event Golf (US),Big Event Golf,bigeventgolf,big event golf,1,1,main,main,Big Event Golf,Big Event Golf,SAME,0,,,
Big Fight - Big Trouble In The Atlantic Ocean,Big Fight - Big Trouble In The Atlantic Ocean,bigfightbigtroubleintheatlanticocean,big fight big trouble in the atlantic ocean,1,1,main,main,Big Fight: Big Trouble in the Atlantic Ocean,Big Fight: Big Trouble in the Atlantic Ocean,SAME,0,,,
"Big Karnak (ver. 1.0, checksum 1e38c94)",Big Karnak,bigkarnak,big karnak,1,1,main,main,Big Karnak,Big Karnak,SAME,0,,,
"Big Run (11th Rallye version, Europe)",Big Run,bigrun,big run,1,1,main,main,Big Run,Big Run,SAME,0,,,
Big Striker,Big Striker,bigstriker,big striker,1,1,main,main,Big Striker,Big Striker,SAME,0,,,
Big Twin,Big Twin,bigtwin,big twin,1,1,main,main,Big Twin,Big Twin,SAME,0,,,
Bigfoot Bonkers,Bigfoot Bonkers,bigfootbonkers,bigfoot bonkers,1,1,main,main,Bigfoot Bonkers,Bigfoot Bonkers,SAME,0,,,
Billiard Academy Real Break (Europe),Billiard Academy Real Break,billiardacademyrealbreak,billiard academy real break,1,1,main,main,Billiard Academy Real Break,Billiard Academy Real Break,SAME,0,,,
Bio Attack,Bio Attack,bioattack,bio attack,1,1,main,main,Bio Attack,Bio Attack,SAME,0,,,
Bio-hazard Battle (Mega Play),Bio-hazard Battle,biohazardbattle,bio hazard battle,1,1,main,main,Bio-Hazard Battle,Bio-Hazard Battle,SAME,0,,,
"Biomechanical Toy (ver. 1.0.1885, checksum 69f5e032)",Biomechanical Toy,biomechanicaltoy,biomechanical toy,1,1,main,main,Biomechanical Toy,Biomechanical Toy,SAME,0,,,
Bionic Commando (Euro),Bionic Commando,bioniccommando,bionic commando,1,1,main,main,Bionic Commando,Bionic Commando,SAME,0,,,
Bio-ship Paladin,Bio-ship Paladin,bioshippaladin,bio ship paladin,1,1,main,main,Bio-ship Paladin,Bio-ship Paladin,SAME,0,,,
Birdie King,Birdie King,birdieking,birdie king,1,1,main,main,Birdie King,Birdie King,SAME,0,,,
Birdie King 2,Birdie King 2,birdieking2,birdie king 2,1,0,main,,Birdie King II,,WORSE,0,,,
Birdie King 3,Birdie King 3,birdieking3,birdie king 3,1,1,main,main,Birdie King 3,Birdie King 3,SAME,0,,,
"Birdie Try (Japan, revision 2, revision 1 MCU)",Birdie Try,birdietry,birdie try,1,1,main,main,Birdie Try,Birdie Try,SAME,0,,,
Birdiy,Birdiy,birdiy,birdiy,1,1,main,main,Birdiy,Birdiy,SAME,0,,,
"Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)",Bishi Bashi Champ Mini Game Senshuken,bishibashichampminigamesenshuken,bishi bashi champ mini game senshuken,0,0,,,,,SAME,0,,,
Black Heart,Black Heart,blackheart,black heart,1,1,main,main,Black Heart,Black Heart,SAME,0,,,
Black Hole,Black Hole,blackhole,black hole,1,1,main,main,Black Hole,Black Hole,SAME,0,,,
Black Hole (EFG Sanremo),Black Hole,blackhole,black hole,1,1,main,main,Black Hole,Black Hole,SAME,0,,,
Black Panther,Black Panther,blackpanther,black panther,1,1,main,main,Black Panther,Black Panther,SAME,0,,,
Black Tiger,Black Tiger,blacktiger,black tiger,1,1,main,main,Black Tiger,Black Tiger,SAME,0,,,
Black Touch (Korea),Black Touch,blacktouch,black touch,1,1,main,main,Black Touch,Black Touch,SAME,0,,,
Black Touch '96,Black Touch '96,blacktouch96,black touch 96,1,1,main,main,Black Touch '96,Black Touch '96,SAME,0,,,
Black Touch II (Korea),Black Touch II,blacktouch2,black touch ii,1,1,main,main,Black Touch II,Black Touch II,SAME,0,,,
Black Widow,Black Widow,blackwidow,black widow,1,1,main,main,Black Widow,Black Widow,SAME,0,,,
Blade Master (World),Blade Master,blademaster,blade master,1,1,main,main,Blade Master,Blade Master,SAME,0,,,
"Blades of Steel (version T, Joystick)",Blades of Steel,bladesofsteel,blades of steel,1,1,main,main,Blades of Steel,Blades of Steel,SAME,0,,,
Blandia,Blandia,blandia,blandia,1,1,main,main,Blandia,Blandia,SAME,0,,,
Blast Off (Japan),Blast Off,blastoff,blast off,1,1,main,main,Blast Off,Blast Off,SAME,0,,,
"Blastaball (Arcadia, V 2.1)",Blastaball,blastaball,blastaball,1,1,main,main,Blastaball,Blastaball,SAME,0,,,
Blasted,Blasted,blasted,blasted,1,1,main,main,Blasted,Blasted,SAME,0,,,
Blaster,Blaster,blaster,blaster,1,1,main,main,Blaster,Blaster,SAME,0,,,
Blasteroids (rev 4),Blasteroids,blasteroids,blasteroids,1,1,main,main,Blasteroids,Blasteroids,SAME,0,,,
Blasto,Blasto,blasto,blasto,1,1,main,main,Blasto,Blasto,SAME,0,,,
Blaze On (World),Blaze On,blazeon,blaze on,1,0,main,,BlaZeon,,WORSE,0,,,
Blazer (Japan),Blazer,blazer,blazer,1,1,main,main,Blazer,Blazer,SAME,0,,,
Blazing Tornado,Blazing Tornado,blazingtornado,blazing tornado,1,1,main,main,Blazing Tornado,Blazing Tornado,SAME,0,,,
Block Block (World 911219 Joystick),Block Block,blockblock,block block,1,1,main,main,Block Block,Block Block,SAME,0,,,
Block Carnival  Thunder &amp;amp;amp;amp; Lightning 2,Block Carnival  Thunder &amp;amp;amp;amp; Lightning 2,blockcarnivalthunderampampampamplightning2,block carnival thunder amp amp amp amp lightning 2,0,0,,,,,SAME,0,,,
"Block Gal (MC-8123B, 317-0029)",Block Gal,blockgal,block gal,1,1,main,main,Block Gal,Block Gal,SAME,0,,,
Block Hole,Block Hole,blockhole,block hole,1,1,main,main,Block Hole,Block Hole,SAME,0,,,
Block Out (set 1),Block Out,blockout,block out,1,1,main,main,Block Out,Block Out,SAME,0,,,
Blockade,Blockade,blockade,blockade,1,1,main,main,Blockade,Blockade,SAME,0,,,
Blocken (Japan),Blocken,blocken,blocken,1,1,main,main,Blocken,Blocken,SAME,0,,,
Blomby Car (Version 1P0),Blomby Car,blombycar,blomby car,1,1,main,main,Blomby Car,Blomby Car,SAME,0,,,
Blood Bros. (World?),Blood Bros.,bloodbros,blood bros,0,0,,,,,SAME,0,,,
Blood Storm (v2.22),Blood Storm,bloodstorm,blood storm,1,0,main,,BloodStorm,,WORSE,0,,,
Blood Warrior,Blood Warrior,bloodwarrior,blood warrior,1,1,main,main,Blood Warrior,Blood Warrior,SAME,0,,,
Bloody Roar 2 (World),Bloody Roar 2,bloodyroar2,bloody roar 2,1,1,main,main,Bloody Roar 2,Bloody Roar 2,SAME,0,,,
Bloody Wolf (US),Bloody Wolf,bloodywolf,bloody wolf,1,1,main,main,Bloody Wolf,Bloody Wolf,SAME,0,,,
Bloxeed (Japan) (FD1094 317-0139),Bloxeed,bloxeed,bloxeed,1,1,main,main,Bloxeed,Bloxeed,SAME,0,,,
Blue Hawk,Blue Hawk,bluehawk,blue hawk,1,1,main,main,Blue Hawk,Blue Hawk,SAME,0,,,
Blue Print (Midway),Blue Print,blueprint,blue print,1,1,main,main,Blue Print,Blue Print,SAME,0,,,
Blue Shark,Blue Shark,blueshark,blue shark,1,1,main,main,Blue Shark,Blue Shark,SAME,0,,,
BMX Stunts,BMX Stunts,bmxstunts,bmx stunts,1,1,main,main,BMX Stunts,BMX Stunts,SAME,0,,,
BnB Arcade,BnB Arcade,bnbarcade,bnb arcade,1,1,main,main,BnB Arcade,BnB Arcade,SAME,0,,,
Body Slam (8751 317-0015),Body Slam,bodyslam,body slam,1,1,main,main,Body Slam,Body Slam,SAME,0,,,
Bogey Manor,Bogey Manor,bogeymanor,bogey manor,1,1,main,main,Bogey Manor,Bogey Manor,SAME,0,,,
Boggy '84,Boggy '84,boggy84,boggy 84,1,1,main,main,Boggy '84,Boggy '84,SAME,0,,,
Bomb Bee,Bomb Bee,bombbee,bomb bee,1,1,main,main,Bomb Bee,Bomb Bee,SAME,0,,,
Bomb Jack,Bomb Jack,bombjack,bomb jack,1,1,main,main,Bomb Jack,Bomb Jack,SAME,0,,,
Bomb Kick (set 1),Bomb Kick,bombkick,bomb kick,1,1,main,main,Bomb Kick,Bomb Kick,SAME,0,,,
Bomber Man World  New Dyna Blaster - Global Quest,Bomber Man World  New Dyna Blaster - Global Quest,bombermanworldnewdynablasterglobalquest,bomber man world new dyna blaster global quest,0,0,,,,,SAME,0,,,
Bombjack Twin (set 1),Bombjack Twin,bombjacktwin,bombjack twin,1,0,main,,Bomb Jack Twin,,WORSE,0,,,
"Bonanza Bros (US, Floppy DS3-5000-07d? Based)",Bonanza Bros,bonanzabros,bonanza bros,1,1,main,main,Bonanza Bros.,Bonanza Bros.,SAME,0,,,
Bongo,Bongo,bongo,bongo,1,1,main,main,Bongo,Bongo,SAME,0,,,
"Bonze Adventure (World, rev 1)",Bonze Adventure,bonzeadventure,bonze adventure,1,1,main,main,Bonze Adventure,Bonze Adventure,SAME,0,,,
Booby Kids (Magnet System),Booby Kids,boobykids,booby kids,1,1,main,main,Booby Kids,Booby Kids,SAME,0,,,
"Boogie Wings (Europe v1.5, 92.12.07)",Boogie Wings,boogiewings,boogie wings,1,1,main,main,Boogie Wings,Boogie Wings,SAME,0,,,
Boomer Rang'r / Genesis (set 1),Boomer Rang'r / Genesis,boomerrangrgenesis,boomer rang r genesis,0,0,,,,,SAME,0,,,
Boong-Ga Boong-Ga (Spank'em!),Boong-Ga Boong-Ga,boonggaboongga,boong ga boong ga,1,1,main,main,Boong-Ga Boong-Ga,Boong-Ga Boong-Ga,SAME,0,,,
Boot Hill,Boot Hill,boothill,boot hill,1,1,main,main,Boot Hill,Boot Hill,SAME,0,,,
Borderline,Borderline,borderline,borderline,1,1,main,main,Borderline,Borderline,SAME,0,,,
Borench (set 1),Borench,borench,borench,1,1,main,main,Borench,Borench,SAME,0,,,
Born To Fight (set 1),Born To Fight,borntofight,born to fight,1,1,main,main,Born to Fight,Born to Fight,SAME,0,,,
Bosconian - Star Destroyer (version 5),Bosconian - Star Destroyer,bosconianstardestroyer,bosconian star destroyer,0,0,,,,,SAME,0,,,
Botanic (English  Spanish),Botanic,botanic,botanic,1,1,main,main,Botanic,Botanic,SAME,0,,,
Bottom of the Ninth (version T),Bottom of the Ninth,bottomoftheninth,bottom of the ninth,1,1,main,main,Bottom of the Ninth,Bottom of the Ninth,SAME,0,,,
Boulder Dash (Max-A-Flex),Boulder Dash,boulderdash,boulder dash,0,0,,,,,SAME,0,,,
Boulder Dash / Boulder Dash Part 2 (World),Boulder Dash / Boulder Dash Part 2,boulderdashboulderdashpart2,boulder dash boulder dash part 2,0,0,,,,,SAME,0,,,
Bouncing Balls,Bouncing Balls,bouncingballs,bouncing balls,1,1,main,main,Bouncing Balls,Bouncing Balls,SAME,0,,,
Bouncing Balls (Adult),Bouncing Balls,bouncingballs,bouncing balls,1,1,main,main,Bouncing Balls,Bouncing Balls,SAME,0,,,
Bowling Alley,Bowling Alley,bowlingalley,bowling alley,0,0,,,,,SAME,0,,,
Bowl-O-Rama (Rev 1.0),Bowl-O-Rama,bowlorama,bowl o rama,1,1,main,main,Bowl-O-Rama,Bowl-O-Rama,SAME,0,,,
Bowmen,Bowmen,bowmen,bowmen,1,1,main,main,Bowmen,Bowmen,SAME,0,,,
Boxing Bugs,Boxing Bugs,boxingbugs,boxing bugs,1,1,main,main,Boxing Bugs,Boxing Bugs,SAME,0,,,
"Boxy Boy (World, SB2)",Boxy Boy,boxyboy,boxy boy,1,1,main,main,Boxy Boy,Boxy Boy,SAME,0,,,
Bradley Trainer,Bradley Trainer,bradleytrainer,bradley trainer,1,1,main,main,The Bradley Trainer,The Bradley Trainer,SAME,0,,,
Brain,Brain,brain,brain,1,1,main,main,Brain,Brain,SAME,0,,,
Brave Blade (World),Brave Blade,braveblade,brave blade,1,1,main,main,Brave Blade,Brave Blade,SAME,0,,,
Break Ball,Break Ball,breakball,break ball,1,1,main,main,Break Ball,Break Ball,SAME,0,,,
Break Thru (US),Break Thru,breakthru,break thru,1,0,main,,BreakThru,,WORSE,0,,,
"Brick Zone (v6.0, Joystick)",Brick Zone,brickzone,brick zone,1,1,main,main,Brick Zone,Brick Zone,SAME,0,,,
Bristles (Max-A-Flex),Bristles,bristles,bristles,1,1,main,main,Bristles,Bristles,SAME,0,,,
Brix,Brix,brix,brix,0,0,,,,,SAME,0,,,
Brixian,Brixian,brixian,brixian,1,1,main,main,BriXian,BriXian,SAME,0,,,
Bronx (bootleg of Cycle Shooting),Bronx,bronx,bronx,0,0,,,,,SAME,0,,,
Brute Force,Brute Force,bruteforce,brute force,1,1,main,main,Brute Force,Brute Force,SAME,0,,,
Bubble 2000,Bubble 2000,bubble2000,bubble 2000,1,1,main,main,Bubble 2000,Bubble 2000,SAME,0,,,
"Bubble Bobble (Japan, Ver 0.1)",Bubble Bobble,bubblebobble,bubble bobble,1,1,main,main,Bubble Bobble,Bubble Bobble,SAME,0,,,
Bubble Bobble II (Ver 2.6O 1994/12/16),Bubble Bobble II,bubblebobble2,bubble bobble ii,1,1,main,main,Bubble Bobble II,Bubble Bobble II,SAME,0,,,
Bubble Bobble Lost Cave,Bubble Bobble Lost Cave,bubblebobblelostcave,bubble bobble lost cave,1,1,main,main,Bubble Bobble: Lost Cave,Bubble Bobble: Lost Cave,SAME,0,,,
Bubble Memories The Story Of Bubble Bobble III (Ver 2.4O 19960215),Bubble Memories The Story Of Bubble Bobble III,bubblememoriesthestoryofbubblebobble3,bubble memories the story of bubble bobble iii,1,1,main,main,Bubble Memories: The Story of Bubble Bobble III,Bubble Memories: The Story of Bubble Bobble III,SAME,0,,,
Bubble Symphony (Ver 2.5A 19941005),Bubble Symphony,bubblesymphony,bubble symphony,0,0,,,,,SAME,0,,,
"Bubble Trouble - Golly! Ghost! 2 (World, Rev B)",Bubble Trouble - Golly! Ghost! 2,bubbletroublegollyghost2,bubble trouble golly ghost 2,1,1,main,main,Bubble Trouble: Golly! Ghost! 2,Bubble Trouble: Golly! Ghost! 2,SAME,0,,,
Bubbles,Bubbles,bubbles,bubbles,1,1,main,main,Bubbles,Bubbles,SAME,0,,,
Buccaneers (set 1),Buccaneers,buccaneers,buccaneers,1,1,main,main,Buccaneers,Buccaneers,SAME,0,,,
Buck Rogers: Planet of Zoom,Buck Rogers: Planet of Zoom,buckrogersplanetofzoom,buck rogers planet of zoom,1,1,main,main,Buck Rogers: Planet of Zoom,Buck Rogers: Planet of Zoom,SAME,0,,,
Bucky O'Hare (ver EAB),Bucky O'Hare,buckyohare,bucky o hare,1,1,main,main,Bucky O'Hare,Bucky O'Hare,SAME,0,,,
"Buggy Boy/Speed Buggy (cockpit, rev. D)",Buggy Boy/Speed Buggy,buggyboyspeedbuggy,buggy boy speed buggy,0,0,,,,,SAME,0,,,
Buggy Challenge,Buggy Challenge,buggychallenge,buggy challenge,1,1,main,main,Buggy Challenge,Buggy Challenge,SAME,0,,,
Bull Fighter,Bull Fighter,bullfighter,bull fighter,1,1,main,main,Bull Fighter,Bull Fighter,SAME,0,,,
Bullet (FD1094 317-0041),Bullet,bullet,bullet,1,1,main,main,Bullet,Bullet,SAME,0,,,
Bullfight (315-5065),Bullfight,bullfight,bullfight,1,0,main,,Bull Fight,,WORSE,0,,,
Bulls Eye Darts,Bulls Eye Darts,bullseyedarts,bulls eye darts,1,1,main,main,Bulls Eye Darts,Bulls Eye Darts,SAME,0,,,
Bump 'n' Jump,Bump 'n' Jump,bumpnjump,bump n jump,1,1,main,main,Bump 'n' Jump,Bump 'n' Jump,SAME,0,,,
Burger Kids (Japan),Burger Kids,burgerkids,burger kids,1,1,main,main,Burger Kids,Burger Kids,SAME,0,,,
Burger Time (Data East set 1),Burger Time,burgertime,burger time,1,0,main,,BurgerTime,,WORSE,0,,,
Burger Time (DECO Cassette) (US),Burger Time,burgertime,burger time,1,0,main,,BurgerTime,,WORSE,0,,,
Burglar X,Burglar X,burglarx,burglar x,1,1,main,main,Burglar X,Burglar X,SAME,0,,,
Burnin' Rubber,Burnin' Rubber,burninrubber,burnin rubber,1,1,main,main,Burnin' Rubber,Burnin' Rubber,SAME,0,,,
Burnin' Rubber (DECO Cassette) (US) (set 1),Burnin' Rubber,burninrubber,burnin rubber,1,1,main,main,Burnin' Rubber,Burnin' Rubber,SAME,0,,,
"Burning Force (Japan, new version (Rev C))",Burning Force,burningforce,burning force,1,1,main,main,Burning Force,Burning Force,SAME,0,,,
Burning Rival (World),Burning Rival,burningrival,burning rival,1,1,main,main,Burning Rival,Burning Rival,SAME,0,,,
Bust a Move 2 - Dance Tengoku Mix (HDD Japanese ROM ver. 19990717 100000),Bust a Move 2 - Dance Tengoku Mix,bustamove2dancetengokumix,bust a move 2 dance tengoku mix,1,1,main,main,Bust a Move 2: Dance Tengoku Mix,Bust a Move 2: Dance Tengoku Mix,SAME,0,,,
Buster Bros. (USA),Buster Bros.,busterbros,buster bros,1,1,main,main,Buster Bros.,Buster Bros.,SAME,0,,,
"Butasan - Pig's &amp;amp;amp;amp; Bomber's (Japan, English)",Butasan - Pig's &amp;amp;amp;amp; Bomber's,butasanpigsampampampampbombers,butasan pig s amp amp amp amp bomber s,0,0,,,,,SAME,0,,,
Buzzard,Buzzard,buzzard,buzzard,0,0,,,,,SAME,0,,,
B-Wings (Japan new Ver.),B-Wings,bwings,b wings,1,1,main,main,B-Wings,B-Wings,SAME,0,,,
"Cabal (World, Joystick)",Cabal,cabal,cabal,1,1,main,main,Cabal,Cabal,SAME,0,,,
Cachat (Japan),Cachat,cachat,cachat,0,0,,,,,SAME,0,,,
Cadash (World),Cadash,cadash,cadash,1,1,main,main,Cadash,Cadash,SAME,0,,,
Cadillacs and Dinosaurs (World 930201),Cadillacs and Dinosaurs,cadillacsanddinosaurs,cadillacs and dinosaurs,1,1,main,main,Cadillacs and Dinosaurs,Cadillacs and Dinosaurs,SAME,0,,,
Caliber 50 (Ver. 1.01),Caliber 50,caliber50,caliber 50,0,0,,,,,SAME,0,,,
"California Speed (Version 2.1a Apr 17 1998, GUTS 1.25 Apr 17 1998 / MAIN Apr 17 1998)",California Speed,californiaspeed,california speed,1,1,main,main,California Speed,California Speed,SAME,0,,,
Calipso,Calipso,calipso,calipso,1,1,main,main,Calipso,Calipso,SAME,0,,,
Calorie Kun vs Moguranian,Calorie Kun vs Moguranian,caloriekunvsmoguranian,calorie kun vs moguranian,1,1,main,main,Calorie Kun vs Moguranian,Calorie Kun vs Moguranian,SAME,0,,,
"Cameltry (World, YM2610)",Cameltry,cameltry,cameltry,1,1,main,main,Cameltry,Cameltry,SAME,0,,,
Candy Candy,Candy Candy,candycandy,candy candy,1,1,main,main,Candy Candy,Candy Candy,SAME,0,,,
Candy Puzzle (v1.0),Candy Puzzle,candypuzzle,candy puzzle,1,1,main,main,Candy Puzzle,Candy Puzzle,SAME,0,,,
"Cannon Ball (Yun Sung, horizontal)",Cannon Ball,cannonball,cannon ball,1,0,main,,Cannonball,,WORSE,0,,,
